Frame_No,ObjID,x1,y1,x2,y2,Class_Name,Confidence,Direction,Aggregate_Count
1,18,56,497,343,692,truck,0.28,N/A,0
1,17,2606,2010,2759,2151,person,0.28,N/A,0
1,16,2122,689,2426,876,car,0.31,N/A,0
1,15,281,540,603,871,bus,0.35,N/A,0
1,14,280,540,603,873,truck,0.39,N/A,0
1,13,1407,663,1693,834,car,0.4,N/A,0
1,12,594,578,817,781,car,0.41,N/A,0
1,11,1484,764,1790,1058,car,0.45,N/A,0
1,10,2126,448,2416,700,truck,0.48,N/A,0
1,9,2248,1696,3314,2153,truck,0.53,N/A,0
1,8,1295,835,1660,1054,car,0.6,N/A,0
1,7,1252,1014,1743,1432,car,0.73,N/A,0
1,6,0,689,358,981,car,0.73,N/A,0
1,5,2040,877,2432,1219,car,0.74,N/A,0
1,4,2202,1164,2772,1744,car,0.75,N/A,0
1,3,504,1962,1172,2155,car,0.77,N/A,0
1,2,761,1373,1434,1975,car,0.82,N/A,0
1,1,1155,1309,1646,1791,car,0.83,N/A,0
2,18,56,497,341,691,truck,0.31,N/A,0
2,17,2605,2010,2761,2153,person,0.3,N/A,0
2,16,2130,689,2426,876,car,0.38,N/A,0
2,15,279,540,603,871,bus,0.39,N/A,0
2,14,279,539,603,873,truck,0.35,N/A,0
2,13,1407,665,1691,835,car,0.36,N/A,0
2,12,594,579,817,780,car,0.45,N/A,0
2,11,1485,768,1789,1063,car,0.43,N/A,0
2,10,2124,448,2415,697,truck,0.52,N/A,0
2,9,2269,1704,3307,2151,truck,0.49,N/A,0
2,8,1295,836,1658,1053,car,0.57,N/A,0
2,7,1251,1014,1741,1429,car,0.74,N/A,0
2,6,1,690,362,981,car,0.71,N/A,0
2,5,2039,878,2437,1224,car,0.75,N/A,0
2,4,2203,1166,2770,1745,car,0.76,N/A,0
2,3,506,1969,1170,2157,car,0.77,N/A,0
2,2,760,1377,1431,1986,car,0.8,N/A,0
2,1,1156,1311,1646,1794,car,0.84,N/A,0
3,19,2303,1727,3320,2155,car,0.3,N/A,0
3,16,2098,683,2421,879,car,0.41,N/A,0
3,15,283,541,605,869,truck,0.42,N/A,0
3,14,284,540,606,869,truck,0.42,N/A,0
3,13,1404,663,1690,836,car,0.37,N/A,0
3,12,595,576,820,778,car,0.41,N/A,0
3,11,1481,766,1792,1072,car,0.4,N/A,0
3,10,2124,448,2417,699,truck,0.47,N/A,0
3,9,2300,1715,3318,2152,truck,0.51,N/A,0
3,8,1290,837,1660,1059,car,0.46,N/A,0
3,7,1250,1016,1740,1428,car,0.74,N/A,0
3,6,3,686,370,977,car,0.63,N/A,0
3,5,2040,878,2441,1226,car,0.69,N/A,0
3,4,2207,1176,2774,1751,car,0.77,N/A,0
3,3,499,1981,1158,2160,car,0.71,N/A,0
3,2,757,1384,1426,1996,car,0.83,N/A,0
3,1,1151,1319,1643,1803,car,0.82,N/A,0
4,16,2104,682,2428,882,car,0.39,N/A,0
4,15,292,541,611,866,bus,0.43,N/A,0
4,14,293,536,612,864,truck,0.32,N/A,0
