Frame_No,ObjID,x1,y1,x2,y2,Class_Name,Confidence,Direction,Aggregate_Count
1,10,390,61,575,140,car,0.26,N/A,0
1,9,1730,858,1835,1046,person,0.37,N/A,0
1,8,727,67,958,340,truck,0.38,N/A,0
1,7,365,0,722,218,car,0.39,N/A,0
1,6,1234,248,1442,617,truck,0.43,N/A,0
1,5,971,950,1283,1080,motorcycle,0.47,N/A,0
1,4,989,2,1161,190,car,0.49,N/A,0
1,3,1242,2,1426,267,car,0.55,N/A,0
1,2,1639,252,1919,515,car,0.83,N/A,0
1,1,202,116,703,357,car,0.87,N/A,0
2,10,390,61,575,140,car,0.26,N/A,0
2,9,1730,858,1835,1046,person,0.37,N/A,0
2,8,727,67,958,340,truck,0.38,N/A,0
2,7,365,0,722,218,car,0.39,N/A,0
2,6,1234,248,1442,617,truck,0.43,N/A,0
2,5,971,950,1283,1079,motorcycle,0.47,N/A,0
2,4,989,2,1161,190,car,0.5,N/A,0
2,3,1242,2,1426,267,car,0.55,N/A,0
2,2,1639,252,1919,515,car,0.83,N/A,0
2,1,202,116,703,357,car,0.87,N/A,0
3,11,1232,256,1440,627,car,0.34,N/A,0
3,10,391,62,576,140,car,0.29,N/A,0
3,9,1730,789,1869,1055,person,0.47,N/A,0
3,8,728,69,957,340,truck,0.31,N/A,0
3,7,370,1,724,220,car,0.36,N/A,0
3,6,1232,255,1442,626,truck,0.32,N/A,0
3,4,992,2,1161,187,car,0.52,N/A,0
3,3,1245,4,1426,265,car,0.43,N/A,0
3,2,1627,230,1916,496,car,0.8,N/A,0
3,1,199,115,698,354,car,0.88,N/A,0
4,10,391,63,576,139,car,0.29,N/A,0
4,9,1730,772,1875,1062,person,0.48,N/A,0
4,8,728,69,957,340,truck,0.32,N/A,0
4,7,372,0,724,221,car,0.36,N/A,0
4,6,1232,256,1442,628,truck,0.32,N/A,0
4,4,992,2,1161,187,car,0.52,N/A,0
4,3,1246,4,1426,265,car,0.43,N/A,0
4,2,1624,226,1916,493,car,0.8,N/A,0
4,1,199,115,697,353,car,0.88,N/A,0
5,10,399,62,579,136,car,0.31,N/A,0
5,9,1745,772,1888,1063,person,0.72,N/A,0
5,8,729,71,958,341,truck,0.37,N/A,0
5,7,372,0,721,217,car,0.34,N/A,0
5,6,1232,262,1443,634,truck,0.37,N/A,0
5,4,995,2,1161,185,car,0.54,N/A,0
5,3,1233,6,1424,283,car,0.53,N/A,0
5,2,1619,218,1915,482,car,0.84,N/A,0
5,1,201,117,700,356,car,0.86,N/A,0
